word,category,arousal,imageability,valence,arm,leg,bias,bias_absol,word_logfreq,lemma_logfreq,pos_ambig,bigram_logfreq,trigram_logfreq,nletters,nphon
halka,leg,3.4,6.32,2.6,2.08333333333333,6.83333333333333,-4.75,4.75,2.0969100130080562,2.902546779313991,0.08997722095671978,6.2044886499293765,4.576323402346305,5,5
halta,leg,2.76,5.96,2.64,1.08333333333333,6.91666666666667,-5.83333333333333,5.83333333333333,2.187520720836463,2.5943925503754266,0.09027777777777779,6.309536757872828,4.737925969732164,5,5
hoppa,leg,2.32,6.12,4.36,2.33333333333333,6.83333333333333,-4.5,4.5,3.9559281568969507,4.196120892598381,0.10957428717192907,5.904371444650069,5.288908259442788,5,4
ila,leg,2.2,4.68,3.56,1.25,5.66666666666667,-4.41666666666667,4.41666666666667,1.8692317197309762,1.9395192526186185,0.36496350364963503,6.42521850198681,4.59492266271699,3,3
jogga,leg,2.72,6.44,4.6,2.41666666666667,6.5,-4.08333333333333,4.08333333333333,2.383815365980431,2.5998830720736876,0.12910284463894972,5.742482528767633,3.934331379664845,5,4
kila,leg,1.68,4.68,4.4,2.41666666666667,4.91666666666667,-2.5,2.5,2.7427251313046983,2.829303772831025,0.07534246575342463,6.163634179903605,4.8541940140763655,4,4
kliva,leg,1.64,5.64,3.88,1.08333333333333,6.91666666666667,-5.83333333333333,5.83333333333333,3.14674801363064,3.182984967003582,0.043314500941619594,6.0717033635738025,5.15063577024984,5,5
knäa,leg,2.76,5.6,2.36,1.33333333333333,6.91666666666667,-5.58333333333333,5.58333333333333,1.255272505103306,1.7634279935629373,0.09375,4.491563196821733,3.0809679039402016,4,4
knalla,leg,1.52,4.36,4.44,1.5,6.5,-5,5,2.12057393120585,2.380211241711606,0.07692307692307687,6.25279824611476,5.4399912025741894,6,5
linka,leg,1.76,4.4,3,1.83333333333333,5.25,-3.41666666666667,3.41666666666667,1.3010299956639813,1.6434526764861874,0.19999999999999996,6.337838163766341,4.9602389659915564,5,5
löpa,leg,2.2,5.8,4.24,1.41666666666667,7,-5.58333333333333,5.58333333333333,2.629409599102719,3.04766419460156,0.15261958997722092,5.4428913547244004,3.9673481767654426,4,4
lunka,leg,1.52,4.6,4.16,1.66666666666667,6.91666666666667,-5.25,5.25,1,1.462397997898956,0.09375,5.947454070550002,4.722613468211695,5,5
marschera,leg,3.4,6.4,3.04,2.91666666666667,7,-4.08333333333333,4.08333333333333,2.69196510276736,3.0008677215312267,0.0972972972972973,6.266875370480387,4.958158424710015,9,7
pinna,leg,1.4,3.8,4.08,1.83333333333333,5.58333333333333,-3.75,3.75,0.8450980400142568,1.724275869600789,0.5826771653543308,6.17950080586129,5.264242324930626,5,4
promenera,leg,3.12,5.84,5.24,1.66666666666667,7,-5.33333333333333,5.33333333333333,2.7193312869837265,2.9885589568786157,0.06075216972034714,6.442938928023285,5.261441325962906,9,9
ragla,leg,2.84,5.12,2.48,1.75,6.16666666666667,-4.41666666666667,4.41666666666667,1,1.5563025007672873,0.368421052631579,6.260038023327623,4.648861954703548,5,5
ränna,leg,1.84,3.68,3.52,1.33333333333333,6.5,-5.16666666666667,5.16666666666667,2.123851640967086,2.459392487759231,0.2923832923832924,6.210239781179837,5.441391604472184,5,4
rusa,leg,2.92,5.84,3.52,2.25,6.5,-4.25,4.25,2.824125833916549,3.2043913319193,0.061547479484173495,5.867301466266095,4.531869970735966,4,4
skejta,leg,1.76,5.32,4.24,1.91666666666667,6.83333333333333,-4.91666666666667,4.91666666666667,1.5440680443502757,1.7481880270062005,0.05084745762711862,5.854510844302654,4.546843472797052,6,6
